  m  |   Left   |   Right  
---------------------------
30   |   20     |   50     
31   |   20     | 1 50     
32   |   20     | 2 50     
33   | 2 20     | 5 50     
34   | 1 20     | 5 50     
35   |   20     | 5 50     
36   | 5 10     | 1 50     
37   | 5 10     | 2 50     
38   | 2 10     |   50     
39   | 1 10     |   50     
40   |   10     |   50     
41   |   10     | 1 50     
42   |   10     | 2 50     
43   | 2 10     | 5 50     
44   | 1 10     | 5 50     
45   |   10     | 5 50     
46   | 5        | 1 50     
47   | 5        | 2 50     
48   | 2        |   50     
49   | 1        |   50     
50   |          |   50     
51   |          | 1 50     
52   |          | 2 50     
53   | 2        | 5 50     
54   | 1        | 5 50     
55   |          | 5 50     
56   | 5 50     | 1 10 100 
57   | 5 50     | 2 10 100 
58   | 2 50     |   10 100 
59   | 1 50     |   10 100 
60   |   50     |   10 100 
61   |   50     | 1 10 100 
62   |   50     | 2 10 100 
63   | 2 50     | 5 10 100 
64   | 1 50     | 5 10 100 
65   |   50     | 5 10 100 
66   | 5 50     | 1 20 100 
67   | 5 50     | 2 20 100 
68   | 2 50     |   20 100 
69   | 1 50     |   20 100 
70   |   50     |   20 100 
71   |   50     | 1 20 100 
72   |   50     | 2 20 100 
73   | 2 50     | 5 20 100 
74   | 1 50     | 5 20 100 
75   |   50     | 5 20 100 
76   | 5 20     | 1    100 
77   | 5 20     | 2    100 
78   | 2 20     |      100 
79   | 1 20     |      100 
80   |   20     |      100 
81   |   20     | 1    100 
82   |   20     | 2    100 
83   | 2 20     | 5    100 
84   | 1 20     | 5    100 
85   |   20     | 5    100 
86   | 5 10     | 1    100 
87   | 5 10     | 2    100 
88   | 2 10     |      100 
89   | 1 10     |      100 
90   |   10     |      100 
91   |   10     | 1    100 
92   |   10     | 2    100 
93   | 2 10     | 5    100 
94   | 1 10     | 5    100 
95   |   10     | 5    100 
96   | 5        | 1    100 
97   | 5        | 2    100 
98   | 2        |      100 
99   | 1        |      100 
100  |          |      100 
101  |          | 1    100 
102  |          | 2    100 
103  | 2        | 5    100 
104  | 1        | 5    100 
105  |          | 5    100 
106  | 5        | 1 10 100 
107  | 5        | 2 10 100 
108  | 2        |   10 100 
109  | 1        |   10 100 
110  |          |   10 100 
111  |          | 1 10 100 
112  |          | 2 10 100 
113  | 2        | 5 10 100 
114  | 1        | 5 10 100 
115  |          | 5 10 100 
116  | 5        | 1 20 100 
117  | 5        | 2 20 100 
118  | 2        |   20 100 
119  | 1        |   20 100 
120  |          |   20 100 
121  |          | 1 20 100 
122  |          | 2 20 100 
123  | 2        | 5 20 100 
124  | 1        | 5 20 100 
125  |          | 5 20 100 
126  | 5 20     | 1 50 100 
127  | 5 20     | 2 50 100 
128  | 2 20     |   50 100 
129  | 1 20     |   50 100 
130  |   20     |   50 100 
131  |   20     | 1 50 100 
132  |   20     | 2 50 100 
133  | 2 20     | 5 50 100 
134  | 1 20     | 5 50 100 
135  |   20     | 5 50 100 
136  | 5 10     | 1 50 100 
137  | 5 10     | 2 50 100 
138  | 2 10     |   50 100 
139  | 1 10     |   50 100 
140  |   10     |   50 100 
141  |   10     | 1 50 100 
142  |   10     | 2 50 100 
143  | 2 10     | 5 50 100 
144  | 1 10     | 5 50 100 
145  |   10     | 5 50 100 
146  | 5        | 1 50 100 
147  | 5        | 2 50 100 
148  | 2        |   50 100 
149  | 1        |   50 100 
150  |          |   50 100 
151  |          | 1 50 100 
152  |          | 2 50 100 
153  | 2        | 5 50 100 
154  | 1        | 5 50 100 
155  |          | 5 50 100 
156  | 5 50     | 1 10 200 
157  | 5 50     | 2 10 200 
158  | 2 50     |   10 200 
159  | 1 50     |   10 200 
160  |   50     |   10 200 
161  |   50     | 1 10 200 
162  |   50     | 2 10 200 
163  | 2 50     | 5 10 200 
164  | 1 50     | 5 10 200 
165  |   50     | 5 10 200 
166  | 5 50     | 1 20 200 
167  | 5 50     | 2 20 200 
168  | 2 50     |   20 200 
169  | 1 50     |   20 200 
170  |   50     |   20 200 
171  |   50     | 1 20 200 
172  |   50     | 2 20 200 
173  | 2 50     | 5 20 200 
174  | 1 50     | 5 20 200 
175  |   50     | 5 20 200 
176  | 5 20     | 1    200 
177  | 5 20     | 2    200 
178  | 2 20     |      200 
179  | 1 20     |      200 
180  |   20     |      200 
181  |   20     | 1    200 
182  |   20     | 2    200 
183  | 2 20     | 5    200 
184  | 1 20     | 5    200 
185  |   20     | 5    200 
186  | 5 10     | 1    200 
187  | 5 10     | 2    200 
188  | 2 10     |      200 
189  | 1 10     |      200 
190  |   10     |      200 
191  |   10     | 1    200 
192  |   10     | 2    200 
193  | 2 10     | 5    200 
194  | 1 10     | 5    200 
195  |   10     | 5    200 
196  | 5        | 1    200 
197  | 5        | 2    200 
198  | 2        |      200 
199  | 1        |      200 
200  |          |      200 
